id,name,type,url,start_date,start_time,timezone,description,keywords,categories,venue_name,venue_city,venue_state,venue_lat,venue_long
vv1A6ZkG7Gkex2oLY,The Outsiders (Chicago),event,https://www.ticketmaster.com/the-outsiders-chicago-chicago-illinois-02-18-2026/event/07006304A23D17F0,2026-02-18,13:00:00,America/Chicago,N/A,"['Theatre', 'Drama']",['Arts & Theatre'],Cadillac Palace,Chicago,IL,41.88437800,-87.63287700
Z7r9jZ1A7boPK,Hamnet,event,https://www.ticketmaster.com/event/Z7r9jZ1A7boPK,2026-02-18,13:00:00,,N/A,[],['Undefined'],Chicago Shakespeare Theater,Chicago,IL,41.894600000,-87.618698000
Za5ju3rKuqZDvQ283_9K_F9bWmwSkTqy8l,Skate Party - Shoot the Puck,event,,2026-02-18,13:00:00,America/Chicago,N/A,[],[],United Center,Chicago,IL,41.8812441199999928,-87.67427375
vv1A7ZkoAGkdItBn-,Chicago Public League,event,https://www.ticketmaster.com/chicago-public-league-chicago-illinois-02-18-2026/event/04006445E8A7AAA1,2026-02-18,18:00:00,America/Chicago,N/A,"['Basketball', 'High School']",['Sports'],Credit Union 1 Arena at UIC,Chicago,IL,41.87509170,-87.65681650
Z7r9jZ1A7qFjk,Loyola Ramblers Womens Basketball vs. George Mason Patriots Womens Basketball,event,https://www.ticketmaster.com/event/Z7r9jZ1A7qFjk,2026-02-18,18:00:00,,N/A,"['Basketball', 'College']",['Sports'],Gentile Arena,Chicago,IL,41.991001000,-87.665398000
vv1A6ZkG7GkexC-L0,The Outsiders (Chicago),event,https://www.ticketmaster.com/the-outsiders-chicago-chicago-illinois-02-18-2026/event/07006304A23A17E4,2026-02-18,19:00:00,America/Chicago,N/A,"['Theatre', 'Drama']",['Arts & Theatre'],Cadillac Palace,Chicago,IL,41.88437800,-87.63287700
Z7r9jZ1A7boPf,Hamnet,event,https://www.ticketmaster.com/event/Z7r9jZ1A7boPf,2026-02-18,19:00:00,,N/A,[],['Undefined'],Chicago Shakespeare Theater,Chicago,IL,41.894600000,-87.618698000
vv1kvYvN4bGAGeNMQ,Eureka Day (Chicago),event,https://www.ticketmaster.com/eureka-day-chicago-chicago-illinois-02-18-2026/event/070063558C0A3DDA,2026-02-18,19:00:00,America/Chicago,N/A,"['Theatre', 'Comedy']",['Arts & Theatre'],Broadway Playhouse at Water Tower Place,Chicago,IL,41.89839490,-87.62285710
Za5ju3rKuqZDdx_VL1dFo59yvU51iZ_99K,2025 NIHL Premier Selects Championships,event,,2026-02-18,19:00:00,America/Chicago,N/A,[],[],United Center,Chicago,IL,41.8812441199999928,-87.67427375
Z7r9jZ1A7q9Qf,Bernadette: The Musical,event,https://www.ticketmaster.com/event/Z7r9jZ1A7q9Qf,2026-02-18,19:00:00,,N/A,[],['Undefined'],Athenaeum Theatre,Chicago,IL,41.939602000,-87.656799000
rZ7HnEZ1AKJkff,THE MOTH STORYSLAM at FITZGERALDS: LOVE WINS,event,https://www.ticketweb.com/event/the-moth-storyslam-at-fitzgeralds-fitzgeralds-nightclub-tickets/13986514,2026-02-18,19:00:00,America/Chicago,N/A,[],['Miscellaneous'],FITZGERALDS NIGHTCLUB,Berwyn,IL,41.864890,-87.789520
rZ7HnEZ1AKPybV,JOEL PATERSON TRIO in the SIDEBAR!,event,https://www.ticketweb.com/event/joel-paterson-trio-in-the-fitzgeralds-sidebar-tickets/13979634,2026-02-18,19:00:00,America/Chicago,N/A,"['Blues', 'Jazz Blues']",['Music'],FITZGERALDS SIDEBAR,Berwyn,IL,41.864890,-87.789520
1AtZk8MGkdldYzu,"Aliejha, Bella Moss, Caro Granner",event,https://www.ticketweb.com/event/aliejha-bella-moss-caro-granner-reggies-music-joint-tickets/14109094?REFERRAL_ID=tmfeed,2026-02-18,19:30:00,America/Chicago,N/A,"['Folk', 'Indie Folk']",['Music'],Reggies Music Joint,Chicago,IL,41.853988,-87.62706
