url,name,description,start_date,end_date,venue_name,venue_city,venue_state,yelp_labels,yelp_scores,event_text
https://www.eventbrite.com/e/asu-chicago-alumni-chapter-founders-day-scholarship-fundraiser-tickets-1982321568173,"ASU Chicago Alumni Chapter Founder's Day Scholarship Fundraiser Tickets, Saturday, Mar 7 from 1 pm to 4 pm","Eventbrite - Alabama State University Chicago Alumni Chapter presents ASU Chicago Alumni Chapter Founder's Day Scholarship Fundraiser - Saturday, March 7, 2026 at The Renaissance Bronzeville, Chicago, IL. Find event and ticket information.",,,,,,"['Education', 'Arts & Entertainment', 'Active Life']","[0.872, 0.865, 0.863]","Categories: Education, Arts & Entertainment, Active Life"
https://www.eventbrite.com/e/pmp-certification-training-bootcamp-in-chicago-il-tickets-1758387577579,"PMP Certification & Training Bootcamp in Chicago, IL Tickets, Multiple dates","Eventbrite - iCertGlobal presents PMP Certification & Training Bootcamp in Chicago, IL - Tuesday, October 28, 2025 at 1010 Lake St, Oak Park, IL. Find event and ticket information.",,,,,,"['Education', 'Active Life', 'Event Planning & Services']","[0.833, 0.452, 0.443]","Categories: Education, Active Life, Event Planning & Services"
https://www.eventbrite.com/e/bbh-day-tickets-1982648584287,"BBH DAY Tickets, Saturday, Feb 28 at 8 pm to Sunday, Mar 1 at 1 am","Eventbrite - Julius Charles presents BBH DAY - Saturday, February 28, 2026 at Chill’s bar and grill, Chicago, IL. Find event and ticket information.",,,,,,"['Nightlife', 'Arts & Entertainment', 'Barbeque']","[0.971, 0.967, 0.933]","Categories: Nightlife, Arts & Entertainment, Barbeque"
https://www.eventbrite.com/e/the-chicago-pancakes-booze-art-show-vendorartist-reservations-tickets-1976779787558,"The Chicago Pancakes & Booze Art Show (Vendor/Artist Reservations) Tickets, Saturday, Feb 28 at 8 pm","Eventbrite - The Pancakes & Booze Art Show presents The Chicago Pancakes & Booze Art Show (Vendor/Artist Reservations) - Saturday, February 28, 2026 at Reggies, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Nightlife', 'Venues & Event Spaces']","[0.994, 0.928, 0.901]","Categories: Arts & Entertainment, Nightlife, Venues & Event Spaces"
https://www.eventbrite.com/e/tech-connect-startups-investors-professionals-networking-event-chicago-tickets-1979310352546,"Tech Connect: Startups, Investors, Professionals Networking Event Chicago Tickets, Monday, Feb 23 from 7 pm to 10 pm","Eventbrite - Business Minds Events presents Tech Connect: Startups, Investors, Professionals Networking Event Chicago - Monday, February 23, 2026 at 2959 N California Ave, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Venues & Event Spaces', 'Active Life']","[0.777, 0.622, 0.508]","Categories: Event Planning & Services, Venues & Event Spaces, Active Life"
https://www.eventbrite.com/e/hands-on-arancini-tickets-1982305448960,"Hands-On: Arancini Tickets, Sunday, Mar 8 from 4 pm to 5:30 pm","Eventbrite - Eataly Chicago presents Hands-On: Arancini - Sunday, March 8, 2026 at Eataly Chicago, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Specialty Food', 'Restaurants']","[0.954, 0.926, 0.825]","Categories: Arts & Entertainment, Specialty Food, Restaurants"
https://www.eventbrite.com/e/champions-on-tap-tickets-1981546256194,"Champions on Tap Tickets, Tuesday, Mar 3 from 7 pm to 9 pm","Eventbrite - Lane Tech High School Cross Country and Track and Field Boosters presents Champions on Tap - Tuesday, March 3, 2026 at The Reveler, Chicago, IL. Find event and ticket information.",,,,,,"['Sports Clubs', 'Nightlife', 'Arts & Entertainment']","[0.969, 0.957, 0.926]","Categories: Sports Clubs, Nightlife, Arts & Entertainment"
https://www.eventbrite.com/e/intelligent-singles-mixer-in-chicago-tickets-1981242042282,"Intelligent  Singles Mixer in Chicago! Tickets, Wednesday, Feb 25 from 7 pm to 10 pm","Eventbrite - Intelligent Singles Network presents Intelligent  Singles Mixer in Chicago! - Wednesday, February 25, 2026 at The 101, Chicago, IL. Find event and ticket information.",,,,,,"['Nightlife', 'Venues & Event Spaces', 'Arts & Entertainment']","[0.873, 0.849, 0.807]","Categories: Nightlife, Venues & Event Spaces, Arts & Entertainment"
https://www.eventbrite.com/e/a-guided-coffee-tasting-by-experimental-coffee-company-tickets-1976987364426,"A guided coffee tasting by Experimental Coffee Company Tickets, Friday, Feb 27 from 12 pm to 1 pm","Eventbrite - Sip Society presents A guided coffee tasting by Experimental Coffee Company - Friday, February 27, 2026 at 1806 W Cuyler Ave, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Event Planning & Services', 'Venues & Event Spaces']","[0.821, 0.779, 0.695]","Categories: Arts & Entertainment, Event Planning & Services, Venues & Event Spaces"
https://www.eventbrite.com/e/dnd-tuesdays-are-for-drake-tickets-1134900711579,"DND - Tuesdays Are For Drake Tickets, Multiple dates","Eventbrite - DND Tuesdays presents DND - Tuesdays Are For Drake - Tuesday, January 7, 2025 at Bar Tabu, Chicago, IL. Find event and ticket information.",,,,,,"['Bars', 'Event Planning & Services', 'Nightlife']","[0.978, 0.923, 0.899]","Categories: Bars, Event Planning & Services, Nightlife"
https://www.eventbrite.com/e/capm-certification-4-days-classroom-training-in-chicago-il-tickets-568245245827,"CAPM Certification 4 Days Classroom Training in Chicago, IL Tickets, Tuesday, Feb 24 at 9 am to Friday, Feb 27 at 5 pm","Eventbrite - Simplykart Inc presents CAPM Certification 4 Days Classroom Training in Chicago, IL - Tuesday, February 24, 2026 at Chicago, IL, Chicago, IL, IL. Find event and ticket information.",,,,,,"['Education', 'Active Life', 'Event Planning & Services']","[0.793, 0.713, 0.514]","Categories: Education, Active Life, Event Planning & Services"
