url,name,description,classifier_input,start_date,end_date,venue_name,venue_city,venue_state,yelp_labels,yelp_scores,event_text
https://www.eventbrite.com/e/shamrocked-circus-partychicagos-biggest-st-patricks-day-party-tickets-1982408083944,"Shamrocked Circus & Party(Chicago's Biggest St. Patrick's Day Party) Tickets, Saturday, Mar 14 from 10 am to 10 pm",,"Shamrocked Circus & Party(Chicago's Biggest St. Patrick's Day Party) Tickets, Saturday, Mar 14 from 10 am to 10 pm",,,,,,"['Arts & Entertainment', 'Event Planning & Services']","[0.977, 0.45]","Categories: Arts & Entertainment, Event Planning & Services"
https://www.eventbrite.com/e/5th-annual-south-loop-st-pattys-day-crawl-tickets-1980492051038,"5th Annual South Loop St Patty's Day Crawl Tickets, Saturday, Mar 14 from 11 am to 7 pm",,"5th Annual South Loop St Patty's Day Crawl Tickets, Saturday, Mar 14 from 11 am to 7 pm",,,,,,"['Nightlife', 'Event Planning & Services', 'Arts & Entertainment']","[0.868, 0.675, 0.638]","Categories: Nightlife, Event Planning & Services, Arts & Entertainment"
https://www.eventbrite.com/e/jen-allen-quartet-live-at-fulton-street-collective-tickets-1983323213120,JEN ALLEN QUARTET Live at Fulton Street Collective,"Fulton Street Collective presents a performance with JEN ALLEN QUARTET on Monday, March 16th at 7:30pm","JEN ALLEN QUARTET Live at Fulton Street Collective. Fulton Street Collective presents a performance with JEN ALLEN QUARTET on Monday, March 16th at 7:30pm",2026-03-16T19:30:00-05:00,2026-03-16T21:30:00-05:00,Fulton Street Collective,Chicago,IL,"['Performing Arts', 'Arts & Entertainment', 'Music Venues']","[0.998, 0.991, 0.968]","Categories: Performing Arts, Arts & Entertainment, Music Venues"
https://www.eventbrite.com/e/an-introduction-to-matcha-with-sip-society-mylai-matcha-tickets-1981809762348,"An introduction to matcha (with Sip Society & Mylai Matcha) Tickets, Sunday, Mar 22 from 12 pm to 2 pm",,"An introduction to matcha (with Sip Society & Mylai Matcha) Tickets, Sunday, Mar 22 from 12 pm to 2 pm",,,,,,['Specialty Food'],[0.338],Categories: Specialty Food
https://www.eventbrite.com/e/state-of-the-industry-2026-tickets-1984093715714,"State of the Industry 2026 Tickets, Wednesday, Mar 18 from 7 pm to 8:30 pm",,"State of the Industry 2026 Tickets, Wednesday, Mar 18 from 7 pm to 8:30 pm",,,,,,"['Theaters', 'Hotels & Travel', 'Wine & Spirits']","[0.614, 0.523, 0.454]","Categories: Theaters, Hotels & Travel, Wine & Spirits"
https://www.eventbrite.com/e/14th-annual-st-day-javu-day-party-tickets-1980899431524,"14th Annual ""St. Day Javu"" Day Party Tickets, Saturday, Mar 14 from 3 pm to 7 pm",,"14th Annual ""St. Day Javu"" Day Party Tickets, Saturday, Mar 14 from 3 pm to 7 pm",,,,,,"['Arts & Entertainment', 'Venues & Event Spaces', 'Event Planning & Services']","[0.892, 0.705, 0.68]","Categories: Arts & Entertainment, Venues & Event Spaces, Event Planning & Services"
https://www.eventbrite.ca/e/the-lord-of-the-rings-trivia-night-snakes-lattes-chicago-tickets-1983826237680,"The Lord Of The Rings Trivia Night - Snakes & Lattes Chicago Tickets, Tuesday, Mar 17 from 7 pm to 9 pm",,"The Lord Of The Rings Trivia Night - Snakes & Lattes Chicago Tickets, Tuesday, Mar 17 from 7 pm to 9 pm",,,,,,['Arts & Entertainment'],[0.739],Categories: Arts & Entertainment
https://www.eventbrite.com/e/my-politic-at-the-tattler-tickets-1980487396115,My Politic at The Tattler,Join us at The Post for another great show with My Politic.,My Politic at The Tattler. Join us at The Post for another great show with My Politic.,2026-03-20T20:00:00-05:00,2026-03-20T22:00:00-05:00,American Legion Tattler Post 973,Chicago,IL,"['Performing Arts', 'Arts & Entertainment', 'Music Venues']","[0.731, 0.35, 0.347]","Categories: Performing Arts, Arts & Entertainment, Music Venues"
https://www.eventbrite.com/e/calling-all-the-monsters-tickets-1983720143349,Calling All the Monsters,It’s time for the Back to Ghoul Dance! Join your classmates in making this a fright to remember! Tonight’s motto is 'Be Yourself. Be Unique',Calling All the Monsters. It’s time for the Back to Ghoul Dance! Join your classmates in making this a fright to remember! Tonight’s motto is 'Be Yourself. Be Unique',2026-03-14T19:00:00-05:00,2026-03-14T22:00:00-05:00,"Goblin Market Manga & Curiosities, North Lincoln Avenue, Chicago, IL, USA",Chicago,IL,"['Performing Arts', 'Nightlife']","[0.502, 0.351]","Categories: Performing Arts, Nightlife"
https://www.eventbrite.com/e/thursday-march-12-ohjay-lamont-friends-tickets-1981971153072,THURSDAY MARCH 12: OHJAY LAMONT & FRIENDS,"Join us for some laughs off the Magnificent Mile, with OhJay Lamont and other Chicago favorites!","THURSDAY MARCH 12: OHJAY LAMONT & FRIENDS. Join us for some laughs off the Magnificent Mile, with OhJay Lamont and other Chicago favorites!",2026-03-12T19:30:00-05:00,2026-03-12T21:30:00-05:00,The Comedy Bar - Chicago Main Stage,Chicago,IL,"['Arts & Entertainment', 'Comedy Clubs', 'Active Life']","[0.917, 0.692, 0.537]","Categories: Arts & Entertainment, Comedy Clubs, Active Life"
https://www.eventbrite.com/e/rb-night-paint-sip-tickets-1984322204129,"R&B Night Paint & Sip Tickets, Saturday, Mar 14 from 7:30 pm to 10 pm",,"R&B Night Paint & Sip Tickets, Saturday, Mar 14 from 7:30 pm to 10 pm",,,,,,"['Nightlife', 'Arts & Entertainment', 'Music Venues']","[0.904, 0.849, 0.659]","Categories: Nightlife, Arts & Entertainment, Music Venues"
https://www.eventbrite.com/e/st-patricks-day-chicago-at-paradise-park-tickets-1980188592385,"St. Patrick's Day Chicago at Paradise Park Tickets, Saturday, Mar 14",,"St. Patrick's Day Chicago at Paradise Park Tickets, Saturday, Mar 14",,,,,,['Music Venues'],[0.392],Categories: Music Venues
https://www.eventbrite.com/e/wrap-n-roll-with-dulce-tickets-1981219558031,"Wrap n' Roll with Dulce Tickets, Saturday, Mar 21 from 12 pm to 3 pm",,"Wrap n' Roll with Dulce Tickets, Saturday, Mar 21 from 12 pm to 3 pm",,,,,,"['Arts & Entertainment', 'Music Venues', 'Performing Arts']","[0.986, 0.944, 0.874]","Categories: Arts & Entertainment, Music Venues, Performing Arts"
https://www.eventbrite.com/e/chicago-singles-event-happy-hour-mixer-ages-40-55-tickets-1983598552668,"Chicago Singles Event: Happy Hour Mixer (Ages 40-55) Tickets, Friday, Mar 13 from 7 pm to 9 pm",,"Chicago Singles Event: Happy Hour Mixer (Ages 40-55) Tickets, Friday, Mar 13 from 7 pm to 9 pm",,,,,,"['Nightlife', 'Active Life']","[0.763, 0.316]","Categories: Nightlife, Active Life"
https://www.eventbrite.com/e/stpatricks-day-darty-tickets-1984308710770,"ST.PATRICK'S DAY DARTY Tickets, Saturday, Mar 14 from 10 am to 4 pm",,"ST.PATRICK'S DAY DARTY Tickets, Saturday, Mar 14 from 10 am to 4 pm",,,,,,"['Arts & Entertainment', 'Performing Arts']","[0.935, 0.904]","Categories: Arts & Entertainment, Performing Arts"
https://www.eventbrite.com/e/deep-dish-pizza-classes-with-pizzeria-uno-tickets-935735458947,"Deep Dish Pizza Classes with Pizzeria UNO Tickets, Multiple Dates",,"Deep Dish Pizza Classes with Pizzeria UNO Tickets, Multiple Dates",,,,,,"['Specialty Food', 'Restaurants']","[0.842, 0.575]","Categories: Specialty Food, Restaurants"
