business_id,venue_text
LcAozWCMLGjwRbokaJAKMg,"Categories: Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums"
ljxNT9p0y7YMPx0fcNBGig,"Categories: Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops"
bCBPXIVfVzBZBEpFu29dcg,"Categories: Shipping Centers, Local Services"
sE6jSnvMts_MAn-b4OkMAw,"Categories: Pet Groomers, Pet Sitting, Pets, Pet Services"
EuRGgOwJ0g1vTj2R04j37Q,"Categories: Seafood, Restaurants"
JnbSkfsl_j2dUoHncBTonA,"Categories: Auto Repair, Body Shops, Automotive"
8oi1Gm7XLyK31Y3N3Wp2Ig,"Categories: Plumbing, Home Services"
gRw-rxLFeNzyqa6hKPXD1w,"Categories: Eyewear & Opticians, Sporting Goods, Shopping, Medical Supplies, Laser Eye Surgery/Lasik, Optometrists, Health & Medical, Outdoor Gear"
uYBx50Yl_Jc-UYwFzudBsQ,"Categories: Restaurants, Chicken Shop, Ramen, Japanese"
WYVDN3VDDTiEUV0QR8D2Hg,"Categories: Guns & Ammo, Sporting Goods, Shopping"
zjQDk4tZyhEroyqtkgvx0g,"Categories: American (Traditional), Nightlife, Breakfast & Brunch, Event Planning & Services, Venues & Event Spaces, Italian, Bars, Restaurants"
gI34hM-873fwF1XQ8hOaSg,"Categories: Salad, Pizza, Restaurants, Italian"
MVmJuns9ZD9QLGltc0Am8g,"Categories: Restaurants, Barbeque"
61oyIzeFjG977kMhMxVznw,"Categories: Towing, Automotive, Auto Parts & Supplies, Auto Repair"
CJNKR_FQ4BOiJqcTtZlkoA,"Categories: Shopping, Flowers & Gifts, Florists"
9Bf4mhvCmA6sv0hpwi3jDw,"Categories: Event Planning & Services, Hotels & Travel, Hotels, Home Services, Home Cleaning"
FzelkV3vzxkRgBmVSIqALA,"Categories: Barbeque, Restaurants"
24Rr4ALt3fDNROR5LEgp0g,"Categories: Restaurants, Pizza"
IS0B5nLJPluVT8NwGgospA,"Categories: Comfort Food, American (New), American (Traditional), Restaurants, Southern"
YnfJv2xUF1GUNORfHAFRFg,"Categories: Restaurants, Pizza"
G0jHNZzhiHWCYZmZWCg-6w,"Categories: Restaurants, Diners"
-lhJzNZPffleH2FQ3-5puw,"Categories: Shopping, Bridal"
JRoY9Mx2LghIki2Uo1SOJA,"Categories: Bars, Wine Bars, Nightlife, Restaurants, Italian"
MOBvgVwvZMV8hyngcr7hfw,"Categories: Veterinarians, Pets"
pMEQsY7OdNS8jlM39f58Vg,"Categories: Restaurants, Salad, Soup, Sandwiches"
bIn7Is88ra509YZhf4VLxA,"Categories: Weight Loss Centers, Beauty & Spas, Aestheticians, Health & Medical, Hair Loss Centers, Medical Spas, Hair Removal, Laser Hair Removal"
