id,name,type,url,start_date,start_time,timezone,description,keywords,categories,venue_name,venue_city,venue_state,venue_lat,venue_long,event_text
vv1A6ZkG7Gkex2oLY,The Outsiders (Chicago),event,https://www.ticketmaster.com/the-outsiders-chicago-chicago-illinois-02-18-2026/event/07006304A23D17F0,2026-02-18,13:00:00,America/Chicago,,"['Theatre', 'Drama']",['Arts & Theatre'],Cadillac Palace,Chicago,IL,41.884378,-87.632877,"Event: The Outsiders (Chicago) | Type: event | Categories: ['Arts & Theatre'] | Keywords: ['Theatre', 'Drama'] | Venue: Cadillac Palace | Location: Chicago, IL | Starts: 2026-02-18 13:00:00 | Timezone: America/Chicago"
Z7r9jZ1A7boPK,Hamnet,event,https://www.ticketmaster.com/event/Z7r9jZ1A7boPK,2026-02-18,13:00:00,,,[],['Undefined'],Chicago Shakespeare Theater,Chicago,IL,41.8946,-87.618698,"Event: Hamnet | Type: event | Categories: ['Undefined'] | Keywords: [] | Venue: Chicago Shakespeare Theater | Location: Chicago, IL | Starts: 2026-02-18 13:00:00"
Za5ju3rKuqZDvQ283_9K_F9bWmwSkTqy8l,Skate Party - Shoot the Puck,event,,2026-02-18,13:00:00,America/Chicago,,[],[],United Center,Chicago,IL,41.88124411999999,-87.67427375,"Event: Skate Party - Shoot the Puck | Type: event | Categories: [] | Keywords: [] | Venue: United Center | Location: Chicago, IL | Starts: 2026-02-18 13:00:00 | Timezone: America/Chicago"
vv1A7ZkoAGkdItBn-,Chicago Public League,event,https://www.ticketmaster.com/chicago-public-league-chicago-illinois-02-18-2026/event/04006445E8A7AAA1,2026-02-18,18:00:00,America/Chicago,,"['Basketball', 'High School']",['Sports'],Credit Union 1 Arena at UIC,Chicago,IL,41.8750917,-87.6568165,"Event: Chicago Public League | Type: event | Categories: ['Sports'] | Keywords: ['Basketball', 'High School'] | Venue: Credit Union 1 Arena at UIC | Location: Chicago, IL | Starts: 2026-02-18 18:00:00 | Timezone: America/Chicago"
Z7r9jZ1A7qFjk,Loyola Ramblers Womens Basketball vs. George Mason Patriots Womens Basketball,event,https://www.ticketmaster.com/event/Z7r9jZ1A7qFjk,2026-02-18,18:00:00,,,"['Basketball', 'College']",['Sports'],Gentile Arena,Chicago,IL,41.991001,-87.665398,"Event: Loyola Ramblers Womens Basketball vs. George Mason Patriots Womens Basketball | Type: event | Categories: ['Sports'] | Keywords: ['Basketball', 'College'] | Venue: Gentile Arena | Location: Chicago, IL | Starts: 2026-02-18 18:00:00"
vv1A6ZkG7GkexC-L0,The Outsiders (Chicago),event,https://www.ticketmaster.com/the-outsiders-chicago-chicago-illinois-02-18-2026/event/07006304A23A17E4,2026-02-18,19:00:00,America/Chicago,,"['Theatre', 'Drama']",['Arts & Theatre'],Cadillac Palace,Chicago,IL,41.884378,-87.632877,"Event: The Outsiders (Chicago) | Type: event | Categories: ['Arts & Theatre'] | Keywords: ['Theatre', 'Drama'] | Venue: Cadillac Palace | Location: Chicago, IL | Starts: 2026-02-18 19:00:00 | Timezone: America/Chicago"
Z7r9jZ1A7boPf,Hamnet,event,https://www.ticketmaster.com/event/Z7r9jZ1A7boPf,2026-02-18,19:00:00,,,[],['Undefined'],Chicago Shakespeare Theater,Chicago,IL,41.8946,-87.618698,"Event: Hamnet | Type: event | Categories: ['Undefined'] | Keywords: [] | Venue: Chicago Shakespeare Theater | Location: Chicago, IL | Starts: 2026-02-18 19:00:00"
vv1kvYvN4bGAGeNMQ,Eureka Day (Chicago),event,https://www.ticketmaster.com/eureka-day-chicago-chicago-illinois-02-18-2026/event/070063558C0A3DDA,2026-02-18,19:00:00,America/Chicago,,"['Theatre', 'Comedy']",['Arts & Theatre'],Broadway Playhouse at Water Tower Place,Chicago,IL,41.8983949,-87.6228571,"Event: Eureka Day (Chicago) | Type: event | Categories: ['Arts & Theatre'] | Keywords: ['Theatre', 'Comedy'] | Venue: Broadway Playhouse at Water Tower Place | Location: Chicago, IL | Starts: 2026-02-18 19:00:00 | Timezone: America/Chicago"
Za5ju3rKuqZDdx_VL1dFo59yvU51iZ_99K,2025 NIHL Premier Selects Championships,event,,2026-02-18,19:00:00,America/Chicago,,[],[],United Center,Chicago,IL,41.88124411999999,-87.67427375,"Event: 2025 NIHL Premier Selects Championships | Type: event | Categories: [] | Keywords: [] | Venue: United Center | Location: Chicago, IL | Starts: 2026-02-18 19:00:00 | Timezone: America/Chicago"
Z7r9jZ1A7q9Qf,Bernadette: The Musical,event,https://www.ticketmaster.com/event/Z7r9jZ1A7q9Qf,2026-02-18,19:00:00,,,[],['Undefined'],Athenaeum Theatre,Chicago,IL,41.939602,-87.656799,"Event: Bernadette: The Musical | Type: event | Categories: ['Undefined'] | Keywords: [] | Venue: Athenaeum Theatre | Location: Chicago, IL | Starts: 2026-02-18 19:00:00"
