business_id,venue_text
LcAozWCMLGjwRbokaJAKMg,"Venue: Edwardsville Children's Museum | City: Edwardsville | Categories: Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums | Attributes: GoodForKids=True, BusinessAcceptsCreditCards=True, WheelchairAccessible=True, BusinessParking={'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"
ljxNT9p0y7YMPx0fcNBGig,"Venue: Tony's Restaurant & 3rd Street Cafe | City: Alton | Categories: Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops | Attributes: RestaurantsReservations=True, RestaurantsPriceRange2=2, OutdoorSeating=True, RestaurantsDelivery=False, BusinessAcceptsCreditCards=True, Alcohol=u'full_bar', HasTV=True, Caters=True"
bCBPXIVfVzBZBEpFu29dcg,"Venue: All In Shipping | City: Belleville | Categories: Shipping Centers, Local Services | Attributes: BusinessAcceptsCreditCards=True"
sE6jSnvMts_MAn-b4OkMAw,"Venue: K-9 Groom Room | City: Troy | Categories: Pet Groomers, Pet Sitting, Pets, Pet Services"
EuRGgOwJ0g1vTj2R04j37Q,"Venue: Crafty Crab | City: Fairview Heights | Categories: Seafood, Restaurants | Attributes: BusinessParking={u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}, RestaurantsDelivery=True, RestaurantsTakeOut=True, HasTV=True, GoodForKids=True"
JnbSkfsl_j2dUoHncBTonA,"Venue: Collision XS | City: Belleville | Categories: Auto Repair, Body Shops, Automotive | Attributes: WiFi=u'free', BusinessAcceptsCreditCards=True"
8oi1Gm7XLyK31Y3N3Wp2Ig,"Venue: A & A Complete Services | City: Smithton | Categories: Plumbing, Home Services | Attributes: BusinessAcceptsCreditCards=True, ByAppointmentOnly=True"
gRw-rxLFeNzyqa6hKPXD1w,"Venue: Heitz Optical | City: Alton | Categories: Eyewear & Opticians, Sporting Goods, Shopping, Medical Supplies, Laser Eye Surgery/Lasik, Optometrists, Health & Medical, Outdoor Gear | Attributes: BusinessAcceptsCreditCards=True, RestaurantsPriceRange2=2, BikeParking=False, ByAppointmentOnly=True, BusinessParking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"
uYBx50Yl_Jc-UYwFzudBsQ,"Venue: Chew Doin Fried Chicken & Ramen | City: Edwardsville | Categories: Restaurants, Chicken Shop, Ramen, Japanese | Attributes: BusinessAcceptsCreditCards=True, BusinessAcceptsBitcoin=False, RestaurantsReservations=False, WiFi=u'no', OutdoorSeating=False, Caters=False, RestaurantsDelivery=True, RestaurantsTakeOut=True"
WYVDN3VDDTiEUV0QR8D2Hg,"Venue: Ron & Jo's Firearms & Sporting Supplies | City: O Fallon | Categories: Guns & Ammo, Sporting Goods, Shopping | Attributes: BusinessParking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, BikeParking=False, RestaurantsPriceRange2=2"
zjQDk4tZyhEroyqtkgvx0g,"Venue: The Cobblestone Eatery and Drinkery | City: Lebanon | Categories: American (Traditional), Nightlife, Breakfast & Brunch, Event Planning & Services, Venues & Event Spaces, Italian, Bars, Restaurants | Attributes: RestaurantsDelivery=False, BestNights={'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}, Music={'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}, WiFi=u'free', BikeParking=False, Caters=False, OutdoorSeating=True, RestaurantsReservations=False"
gI34hM-873fwF1XQ8hOaSg,"Venue: Joe’s Pizza and Pasta | City: Godfrey | Categories: Salad, Pizza, Restaurants, Italian | Attributes: HasTV=True, RestaurantsTableService=True, BikeParking=True, RestaurantsDelivery=True, RestaurantsTakeOut=True, RestaurantsReservations=True, GoodForMeal={'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, Ambience={u'divey': None, u'hipster': None, u'casual': None, u'touristy': None, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': None}"
MVmJuns9ZD9QLGltc0Am8g,"Venue: Triple R's Smokehouse | City: Mascoutah | Categories: Restaurants, Barbeque | Attributes: GoodForKids=True, BusinessAcceptsCreditCards=True, RestaurantsPriceRange2=2, RestaurantsAttire='casual', RestaurantsGoodForGroups=True, RestaurantsReservations=False, RestaurantsDelivery=False, OutdoorSeating=True"
61oyIzeFjG977kMhMxVznw,"Venue: Distler's Auto Repair | City: O Fallon | Categories: Towing, Automotive, Auto Parts & Supplies, Auto Repair"
CJNKR_FQ4BOiJqcTtZlkoA,"Venue: Kinzels Flower Shop | City: Alton | Categories: Shopping, Flowers & Gifts, Florists | Attributes: RestaurantsPriceRange2=2, BusinessAcceptsCreditCards=True, RestaurantsDelivery=None"
9Bf4mhvCmA6sv0hpwi3jDw,"Venue: Quality Inn & Suites Near St. Louis And I-255 | City: Cahokia | Categories: Event Planning & Services, Hotels & Travel, Hotels, Home Services, Home Cleaning | Attributes: BusinessAcceptsCreditCards=True, RestaurantsPriceRange2=2, WiFi=u'free'"
FzelkV3vzxkRgBmVSIqALA,"Venue: Edley’s | City: Glen Carbon | Categories: Barbeque, Restaurants | Attributes: OutdoorSeating=True, HasTV=True, RestaurantsPriceRange2=2, Alcohol=u'full_bar', Caters=True, NoiseLevel=u'average', Ambience={u'divey': False, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}, BusinessParking={u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': None}"
24Rr4ALt3fDNROR5LEgp0g,"Venue: Imo's Pizza | City: Godfrey | Categories: Restaurants, Pizza | Attributes: OutdoorSeating=True, RestaurantsAttire='casual', RestaurantsPriceRange2=2, RestaurantsReservations=False, Ambience={'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, BusinessAcceptsCreditCards=True, RestaurantsGoodForGroups=True, RestaurantsDelivery=True"
IS0B5nLJPluVT8NwGgospA,"Venue: Cheddar's Scratch Kitchen | City: Fairview Heights | Categories: Comfort Food, American (New), American (Traditional), Restaurants, Southern | Attributes: OutdoorSeating=False, RestaurantsAttire=u'casual', RestaurantsReservations=False, BusinessAcceptsCreditCards=True, BikeParking=True, NoiseLevel=u'average', RestaurantsPriceRange2=2, Alcohol=u'full_bar'"
YnfJv2xUF1GUNORfHAFRFg,"Venue: Aiello's Pizzeria | City: Granite City | Categories: Restaurants, Pizza | Attributes: RestaurantsTakeOut=True, HasTV=True, RestaurantsReservations=False, RestaurantsGoodForGroups=True, Ambience={'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, RestaurantsPriceRange2=2, Alcohol=u'beer_and_wine', GoodForKids=True"
G0jHNZzhiHWCYZmZWCg-6w,"Venue: Downtown Diner | City: Granite City | Categories: Restaurants, Diners | Attributes: GoodForMeal={'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, BusinessParking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, Ambience={'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}, HasTV=True"
-lhJzNZPffleH2FQ3-5puw,"Venue: Best Bridal Prices | City: Godfrey | Categories: Shopping, Bridal | Attributes: RestaurantsPriceRange2=2, BusinessParking={'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, ByAppointmentOnly=False, BusinessAcceptsCreditCards=True"
JRoY9Mx2LghIki2Uo1SOJA,"Venue: The Wine Tap | City: Belleville | Categories: Bars, Wine Bars, Nightlife, Restaurants, Italian | Attributes: BusinessParking={'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, HasTV=True, RestaurantsGoodForGroups=True, Ambience={'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': True, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}, NoiseLevel=u'average', RestaurantsPriceRange2=2, Alcohol=u'full_bar', OutdoorSeating=True"
MOBvgVwvZMV8hyngcr7hfw,"Venue: Shiloh Veterinary Clinic | City: Shiloh | Categories: Veterinarians, Pets"
pMEQsY7OdNS8jlM39f58Vg,"Venue: Subliminal Grilled Subs & More | City: Waterloo | Categories: Restaurants, Salad, Soup, Sandwiches | Attributes: RestaurantsTakeOut=True, RestaurantsDelivery=True, RestaurantsGoodForGroups=False, BusinessAcceptsCreditCards=True, RestaurantsAttire='casual', RestaurantsReservations=True, GoodForKids=True"
bIn7Is88ra509YZhf4VLxA,"Venue: Advanced Medical Weight Loss | City: Glen Carbon | Categories: Weight Loss Centers, Beauty & Spas, Aestheticians, Health & Medical, Hair Loss Centers, Medical Spas, Hair Removal, Laser Hair Removal | Attributes: ByAppointmentOnly=False, BusinessAcceptsCreditCards=True"
